id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
49,20140618T000000,849697,4,4.3,3274,7448,2.0,0,0,3,6,3687,0,1923,0,98001,47.498173,-121.686657,886,2210
50,20140619T000000,179428,3,3.34,1490,9557,2.5,0,0,4,7,1965,0,1943,0,98007,47.491077,-122.401247,2930,14293
51,20140620T000000,906220,3,3.38,3446,14945,1.0,0,0,3,7,1695,1751,1956,0,98005,47.694983,-122.430408,3848,11272
52,20140621T000000,537507,3,2.27,2312,11762,2.0,0,0,4,8,3587,0,1995,0,98002,47.797194,-122.346368,1905,7212
53,20140622T000000,511995,6,3.08,1303,12611,2.0,0,0,2,13,3508,0,1915,0,98008,47.45571,-121.7356,623,5687
54,20140623T000000,1018467,2,1.04,989,14749,2.0,0,0,4,9,3445,0,1995,0,98007,47.341643,-121.776005,4497,6310
55,20140624T000000,1468259,4,3.23,4056,8382,2.0,0,0,3,6,1579,2477,2008,0,98006,47.230131,-121.934982,3952,11340
56,20140625T000000,1316386,4,4.2,1993,11668,2.0,0,0,3,8,2114,0,2000,0,98001,47.10336,-122.031774,4396,10700
57,20140626T000000,449544,3,3.14,4145,9982,1.5,0,0,3,8,1626,2519,1999,0,98005,47.45638,-121.611674,2124,14596
58,20140627T000000,577233,4,4.06,3391,4569,1.5,0,0,4,7,783,2608,1920,0,98004,47.488863,-121.733302,1681,1913
59,20140628T000000,1030707,3,3.53,2205,8707,2.0,0,0,3,11,1016,1189,2010,0,98006,47.677457,-121.688058,1227,3780
60,20140629T000000,1582880,5,1.42,4016,1746,2.0,0,0,3,8,3165,851,1975,0,98002,47.453204,-121.686738,4384,9581
61,20140630T000000,722532,5,4.16,3840,9504,2.0,0,0,3,13,1801,2039,1950,0,98004,47.741528,-121.857283,4170,8732
62,20140701T000000,525752,3,1.23,553,5633,1.5,0,0,3,8,1111,0,1920,0,98003,47.539658,-122.041985,1641,13241
63,20140702T000000,398993,3,2.87,3075,1920,2.0,0,4,3,9,1249,1826,1959,2012,98006,47.688235,-121.635322,2875,13447
64,20140703T000000,307800,4,1.5,4091,10269,2.0,0,0,4,6,1792,2299,1950,0,98008,47.203811,-121.573993,4531,5987
65,20140704T000000,1113703,5,1.04,1115,14778,2.0,0,0,3,8,2356,0,1920,0,98006,47.698735,-122.476194,858,4625
66,20140705T000000,1597932,3,2.48,1454,8008,2.0,0,0,3,7,899,555,2006,0,98008,47.572601,-122.448445,4242,10262
67,20140706T000000,775483,4,2.03,2933,12021,2.5,0,0,2,10,2026,907,1905,0,98005,47.219163,-121.541257,3344,8326
68,20140707T000000,1554542,4,2.7,2129,3381,2.0,0,0,3,10,2524,0,1972,0,98005,47.232834,-122.222839,2711,14757
69,20140708T000000,1085222,4,3.02,3281,4618,2.0,0,0,3,10,2633,648,1964,0,98002,47.74855,-121.626631,1472,13983
70,20140709T000000,427837,2,1.15,1149,9989,2.0,0,0,3,9,819,330,1975,0,98006,47.122551,-122.111205,860,14045
71,20140710T000000,1048843,4,1.43,2847,5443,2.5,0,0,3,10,1555,1292,1957,0,98005,47.423774,-122.3809,3132,3570
72,20140711T000000,2368142,5,2.96,4990,1272,2.0,0,0,3,7,835,4155,1977,0,98003,47.319433,-122.419557,3690,4737
73,20140712T000000,761174,3,2.2,3778,12202,2.0,0,0,5,8,2598,1180,1905,0,98008,47.565554,-122.343492,2124,3779
74,20140713T000000,2365599,3,3.55,3140,14007,2.0,0,0,3,9,3650,0,1964,0,98007,47.687741,-122.250107,4428,9530
75,20140714T000000,137894,6,3.28,4301,2773,2.0,0,0,3,9,673,3628,1985,0,98007,47.352265,-122.011482,2256,2976
76,20140715T000000,1393698,3,3.96,3061,3547,1.0,0,0,4,9,2141,920,1933,0,98007,47.398831,-121.798502,740,12628
77,20140716T000000,784886,4,3.42,3749,4164,1.5,0,0,3,7,1000,2749,1955,0,98005,47.787342,-121.513601,1475,1794
78,20140717T000000,446025,3,2.5,870,5780,3.0,0,0,3,6,2623,0,1974,0,98006,47.648742,-122.058493,4818,2722
79,20140718T000000,802291,3,3.36,1357,13909,2.0,0,0,3,11,2863,0,1902,0,98007,47.728043,-121.981815,2813,14885
80,20140719T000000,153914,5,1.96,883,1946,2.0,0,0,4,8,2356,0,1941,0,98001,47.407134,-121.978184,1805,12411
81,20140720T000000,662555,3,2.07,4377,11857,2.5,0,0,2,7,3944,433,1961,0,98004,47.263853,-121.960566,1287,1898
82,20140721T000000,1056833,3,3.76,3052,1506,2.0,0,0,3,10,3652,0,1905,0,98006,47.388304,-121.982259,2928,14455
83,20140722T000000,2765999,3,2.56,4834,14870,2.0,0,0,3,11,2396,2438,1905,0,98008,47.601264,-122.491225,1055,1102
84,20140723T000000,553081,4,3.79,4790,7719,2.0,0,0,3,7,2163,2627,1962,0,98003,47.176601,-122.498275,2609,12051
85,20140724T000000,474228,2,3.88,3225,9435,2.0,0,0,3,10,2218,1007,1919,0,98006,47.289328,-122.402334,3149,13380
86,20140725T000000,678907,3,4.0,4534,9697,1.0,0,0,3,11,2278,2256,1920,0,98003,47.132645,-122.398443,2059,14262
87,20140726T000000,1734106,5,4.21,3793,13709,1.5,0,0,3,11,1196,2597,1901,0,98006,47.402643,-121.795103,4735,8453
88,20140727T000000,1240913,3,2.51,4751,12350,1.5,0,0,3,11,3557,1194,1989,0,98007,47.679212,-122.295084,1863,10639
89,20140728T000000,571528,4,2.12,4488,7360,1.0,0,0,3,8,1231,3257,1994,0,98004,47.117265,-121.605286,4459,13406
90,20140729T000000,934632,3,3.04,1422,8657,2.0,0,0,3,8,1594,0,1989,0,98004,47.572726,-121.571394,1089,3032
91,20140730T000000,664017,4,2.3,3415,4590,1.5,0,2,3,4,3516,0,1955,0,98003,47.752747,-121.524107,2249,13224
92,20140731T000000,1343203,2,3.1,3450,11064,1.0,0,0,3,6,3401,49,1995,0,98006,47.26585,-121.560919,1040,7172
93,20140801T000000,469620,5,3.47,3546,12985,1.5,0,0,4,8,3213,333,1909,0,98004,47.585544,-122.228112,2922,12252
94,20140802T000000,520996,3,3.41,1474,2192,1.0,0,0,3,8,1151,323,1986,0,98002,47.782571,-121.990223,790,2534
95,20140803T000000,479489,3,2.31,1730,13617,2.0,0,0,3,7,1594,136,1969,0,98006,47.773595,-122.324545,2590,8197
96,20140804T000000,263501,2,1.58,2935,13937,2.5,0,0,4,8,545,2390,1922,0,98004,47.26445,-121.69379,4435,14677
97,20140805T000000,816704,2,2.51,2314,2464,2.0,0,0,3,7,1570,744,1991,0,98001,47.170232,-121.611568,4458,12039
98,20140806T000000,1028031,3,1.5,3434,1390,1.0,0,0,3,10,1945,1489,2012,0,98001,47.203798,-121.648711,4359,12401
99,20140807T000000,637800,3,4.12,1863,6615,1.0,0,0,3,7,2696,0,1929,2004,98002,47.591425,-122.066633,1755,5570
100,20140808T000000,738758,4,2.21,4440,13668,1.0,0,0,3,9,3457,983,1977,0,98004,47.608031,-121.741326,507,7706
101,20140809T000000,225824,3,1.54,703,12569,2.0,0,0,4,8,3701,0,1936,0,98001,47.571966,-122.402421,2157,12655
102,20140810T000000,400899,3,1.09,660,14029,1.0,0,0,5,6,955,0,1954,0,98007,47.335255,-122.459755,4928,1434
103,20140811T000000,788435,4,3.26,4987,7106,2.0,0,0,3,11,2162,2825,1995,0,98006,47.218844,-121.746764,1756,10449
104,20140812T000000,365613,4,3.23,1268,14107,1.0,0,0,3,8,3424,0,1948,0,98005,47.506533,-122.074645,4450,9246
105,20140813T000000,723000,2,2.19,4248,9864,2.0,0,0,3,8,1465,2783,1933,0,98004,47.438576,-121.504451,1539,10122
106,20140814T000000,936879,2,1.25,3081,3560,1.0,0,0,3,7,2520,561,2004,0,98008,47.610184,-122.402746,2616,14603
107,20140815T000000,2468667,2,2.43,1593,6867,1.0,0,0,4,8,1368,225,1943,0,98002,47.408952,-121.644372,1184,11991
108,20140816T000000,596754,4,2.09,1107,2211,2.0,0,0,4,5,2028,0,2014,0,98004,47.337048,-122.020017,4518,9503
109,20140817T000000,818114,4,3.37,2040,10121,1.0,0,0,3,8,3476,0,1921,0,98003,47.305435,-121.67285,2297,14859
110,20140818T000000,721019,3,3.12,3375,2539,1.0,0,0,2,8,3571,0,1930,0,98003,47.248029,-121.682873,2324,8256
111,20140819T000000,225384,4,2.28,3691,10104,2.0,0,0,3,10,1500,2191,1906,0,98001,47.286022,-121.584008,4034,10148
112,20140820T000000,732109,4,1.76,2337,1643,2.0,0,0,3,9,1273,1064,2004,0,98008,47.166381,-122.20215,562,7461
113,20140821T000000,587179,4,4.46,1189,13714,2.0,0,0,4,6,2791,0,1920,0,98003,47.3428,-121.550201,760,5083
114,20140822T000000,4278110,4,2.59,4259,9693,1.0,0,0,3,7,3021,1238,1915,0,98002,47.125599,-122.348333,4071,6996
115,20140823T000000,683499,3,3.41,3449,9921,1.5,0,1,4,8,2929,520,1919,0,98008,47.23049,-122.418031,3692,5852
116,20140824T000000,834931,2,1.49,2603,2283,1.0,0,0,3,7,1626,977,1942,0,98001,47.622739,-122.068384,1988,3512
117,20140825T000000,500620,3,2.7,865,8680,1.0,0,0,3,5,3036,0,1943,0,98002,47.327828,-121.671677,1630,6528
118,20140826T000000,403132,2,1.1,4075,11310,2.5,0,1,3,10,1560,2515,1946,0,98006,47.567766,-122.026579,4775,2263
119,20140827T000000,1555234,4,2.77,4699,8345,2.0,0,0,3,5,2177,2522,2013,0,98002,47.601819,-121.670713,854,6951
120,20140828T000000,1568257,5,4.37,4672,13744,1.0,0,0,3,10,2043,2629,1918,0,98003,47.50683,-121.770313,3274,3747
121,20140829T000000,1384193,2,2.34,4825,5386,2.0,0,0,4,7,3904,921,1947,0,98006,47.771088,-122.290572,1088,8280
122,20140830T000000,477692,2,1.14,2878,13028,1.0,0,0,3,12,896,1982,1995,0,98003,47.115008,-121.551118,1104,11974
123,20140831T000000,1884189,3,1.11,1705,1919,2.5,0,0,3,9,2843,0,1978,0,98002,47.617057,-122.439219,2728,2093
124,20140901T000000,323747,5,2.36,4339,13242,1.0,0,0,3,9,606,3733,1968,0,98003,47.771151,-121.60172,673,11978
125,20140902T000000,1003143,3,1.56,3235,3339,1.0,0,0,3,6,3407,0,1910,0,98008,47.70359,-122.195557,853,12007
126,20140903T000000,4075932,3,1.08,3847,9947,2.0,0,0,3,10,1453,2394,1978,0,98003,47.217525,-121.999852,3790,4763
127,20140904T000000,384691,2,3.65,2175,14946,2.0,0,0,5,10,3077,0,1928,0,98003,47.328774,-122.077648,933,8351
128,20140905T000000,439544,2,2.6,798,6930,2.0,0,0,2,9,2348,0,2013,0,98004,47.220716,-122.328165,3452,13227
129,20140906T000000,698595,6,2.01,1456,6402,1.0,0,0,3,8,3654,0,1944,0,98006,47.520916,-122.141853,758,14031
130,20140907T000000,491741,5,4.15,1614,6663,1.0,0,0,3,9,1433,181,1967,2005,98008,47.598532,-122.307066,1367,11515
131,20140908T000000,194566,1,1.41,3005,11061,1.5,0,0,3,4,787,2218,2012,0,98006,47.321952,-122.296114,3106,1232
132,20140909T000000,754221,5,4.35,1974,13664,1.0,0,0,3,9,1205,769,1935,0,98007,47.477655,-122.312943,4145,3101
133,20140910T000000,450390,4,2.1,4960,6275,2.5,0,0,3,10,2543,2417,1947,0,98006,47.583644,-122.010983,1095,13544
134,20140911T000000,1189135,4,4.11,4946,1507,1.0,0,0,3,8,1984,2962,1986,0,98007,47.394938,-121.702069,893,3028
135,20140912T000000,375818,3,3.11,4226,2436,1.5,0,0,3,6,714,3512,1914,0,98002,47.697811,-121.93103,4931,7233
136,20140913T000000,2366733,3,3.89,3971,11767,2.0,0,0,3,8,1804,2167,2009,0,98007,47.640085,-121.606793,2610,8926
137,20140914T000000,462824,3,4.44,3328,12618,1.0,0,0,3,9,3279,49,1943,0,98007,47.145266,-121.863456,4364,2929
138,20140915T000000,538585,4,2.01,3350,9750,2.0,0,0,5,6,2477,873,1966,0,98005,47.534788,-121.81066,4639,10650
139,20140916T000000,1239582,2,4.36,3006,8354,2.0,0,0,2,7,1982,1024,1995,0,98002,47.264728,-121.832393,2700,10840
140,20140917T000000,324408,2,2.36,4270,12294,1.0,0,0,3,7,2324,1946,1973,0,98006,47.490263,-122.050541,4497,9599
141,20140918T000000,1498545,3,2.35,3464,5516,2.5,1,0,3,10,843,2621,1939,0,98001,47.769822,-121.810661,4353,4340
142,20140919T000000,1449950,4,2.19,1449,14840,2.0,0,0,3,6,693,756,2001,0,98003,47.715343,-122.430292,4254,14980
143,20140920T000000,261454,3,2.89,3350,4622,1.0,0,0,5,9,657,2693,1985,0,98003,47.383161,-121.640149,4870,2977
144,20140921T000000,688066,4,1.54,665,5399,1.5,0,0,4,8,964,0,1913,0,98005,47.30406,-121.722188,3929,3413
145,20140922T000000,1009942,5,2.94,3986,6037,1.0,0,0,2,9,2651,1335,1962,0,98001,47.264084,-122.25477,713,9026
146,20140923T000000,1574093,2,2.9,3009,13249,2.0,0,0,3,12,2581,428,1980,0,98004,47.47276,-121.731968,2626,6418
147,20140924T000000,243249,4,3.67,1419,9111,2.0,0,0,3,6,3673,0,1984,0,98007,47.179974,-122.487357,638,7025
148,20140925T000000,226081,3,3.92,613,4715,2.0,0,0,3,7,3186,0,1950,2009,98008,47.484493,-122.282753,4693,14470
149,20140926T000000,1286235,4,2.54,4004,8837,3.0,0,0,3,10,2249,1755,2011,0,98002,47.100934,-122.434863,4460,5937
150,20140927T000000,761587,3,2.06,1491,2301,2.0,0,0,4,7,2872,0,1978,0,98004,47.326695,-121.719773,1163,14271
151,20140928T000000,917974,4,1.91,4339,8370,2.0,0,0,5,7,3238,1101,1957,0,98001,47.253954,-121.744126,3332,10952
152,20140929T000000,945836,4,1.68,1758,6185,1.0,0,0,5,10,1091,667,1914,0,98005,47.779853,-121.686364,1573,4597
153,20140930T000000,906975,5,1.2,3926,3155,2.0,1,0,4,12,2688,1238,1964,0,98001,47.60907,-122.495518,4522,2378
154,20141001T000000,795673,4,2.2,1014,7411,1.0,0,3,3,8,3021,0,1987,0,98005,47.344757,-121.998767,661,1620
155,20141002T000000,903065,3,1.95,3696,7365,2.0,0,0,3,7,1554,2142,1954,0,98004,47.164992,-121.795164,2000,1929
156,20141003T000000,516725,4,4.38,4934,14841,1.5,0,0,3,8,1383,3551,1975,0,98004,47.46176,-122.344599,3678,7544
157,20141004T000000,2646855,4,2.95,3084,1692,1.0,0,1,3,7,562,2522,1909,0,98008,47.249414,-121.850209,4990,8572
158,20141005T000000,890520,4,2.22,567,13542,1.0,0,0,3,9,1610,0,2009,0,98001,47.475501,-122.41589,685,6826
159,20141006T000000,334666,2,3.03,2096,2478,1.0,0,0,4,10,803,1293,2005,2010,98001,47.684754,-122.318674,2480,1974
160,20141007T000000,1501044,5,1.49,4978,7396,2.0,0,0,4,10,1584,3394,1941,2011,98007,47.531055,-122.024203,4488,13679
161,20141008T000000,252278,4,2.55,518,9448,1.5,0,0,4,5,895,0,1994,0,98003,47.543652,-121.846435,1329,13639
162,20141009T000000,1300908,4,3.19,3230,11622,2.0,0,0,4,8,833,2397,1910,0,98005,47.478721,-122.354131,4019,12045
163,20141010T000000,1687801,3,2.71,4021,1441,1.5,0,0,5,7,3333,688,1915,0,98003,47.749086,-122.314777,4011,2689
164,20141011T000000,355511,4,2.41,1072,11073,2.0,0,0,3,8,910,162,1972,0,98002,47.752332,-122.295554,3828,5671
165,20141012T000000,1595904,3,4.48,2758,3646,1.0,0,0,4,10,2831,0,2010,0,98002,47.458906,-122.261299,3848,14981
166,20141013T000000,963143,4,4.08,3402,6209,1.0,0,0,3,7,965,2437,1977,1990,98001,47.314032,-122.273446,2985,7920
167,20141014T000000,1277221,2,3.18,1150,13012,2.0,0,3,3,9,579,571,1918,0,98004,47.421711,-122.104851,1725,7776
168,20141015T000000,3110741,4,2.99,3087,7533,1.5,0,2,5,9,3331,0,1930,0,98002,47.230591,-121.84621,3344,14599
169,20141016T000000,773247,6,3.17,3762,5677,1.0,0,0,4,11,1600,2162,1972,0,98002,47.545441,-122.061968,3233,13810
170,20141017T000000,444641,2,1.7,1838,8211,1.0,0,0,3,10,2477,0,1999,0,98008,47.450065,-121.724026,4920,9917
171,20141018T000000,480475,6,2.38,4134,10927,1.0,0,0,2,10,1232,2902,1952,0,98003,47.17231,-121.780731,4496,9353
172,20141019T000000,441441,3,1.14,3327,12927,2.0,0,1,3,8,2317,1010,2002,0,98008,47.238353,-122.373473,3170,8784
173,20141020T000000,649383,5,2.66,2717,3645,1.0,0,0,3,7,2063,654,1989,0,98003,47.435742,-122.451158,1998,1658
174,20141021T000000,1010009,4,2.9,4039,9210,2.0,0,0,4,8,1884,2155,1907,0,98007,47.721312,-121.622058,2188,3897
175,20141022T000000,794670,4,1.8,1537,10316,2.0,0,0,3,8,2624,0,1923,0,98008,47.496474,-122.420169,2947,6668
176,20141023T000000,1589821,4,4.37,4883,13177,1.0,0,0,3,9,3056,1827,1907,0,98007,47.577075,-122.351661,1367,7225
177,20141024T000000,881313,5,4.18,4478,11846,3.0,0,0,3,9,1687,2791,1982,0,98002,47.33732,-122.477867,4812,13811
178,20141025T000000,2131750,3,3.53,3461,8933,2.0,0,0,2,8,3580,0,2010,0,98001,47.499988,-121.871664,3508,13291
179,20141026T000000,612082,3,2.87,3726,6476,2.0,0,0,2,7,1698,2028,1947,0,98003,47.413166,-121.917629,4024,3542
180,20141027T000000,4171259,4,4.04,1598,14853,2.0,0,0,4,7,3009,0,1929,0,98002,47.561391,-121.513096,2512,10770
181,20141028T000000,1195663,4,1.46,2824,8928,2.0,0,0,3,9,3878,0,1957,0,98004,47.135403,-121.613068,739,13186
182,20141029T000000,378796,4,3.77,1439,3080,2.0,0,0,3,9,2111,0,1985,0,98003,47.44531,-122.089157,547,10266
183,20141030T000000,404079,4,1.44,4216,7089,1.5,0,0,2,9,2792,1424,1954,0,98002,47.307195,-122.128414,4549,14572
184,20141031T000000,1112366,3,3.78,3914,8396,1.0,0,0,3,8,621,3293,1972,0,98007,47.32833,-122.203148,3957,4205
185,20141101T000000,549157,4,1.97,1948,10739,1.0,0,0,4,7,684,1264,1961,0,98008,47.772642,-122.347593,3779,5044
186,20141102T000000,1103482,2,4.07,1070,8797,1.0,0,0,3,9,531,539,2007,0,98005,47.227886,-122.361916,3728,14910
187,20141103T000000,1182243,4,4.3,3404,1861,1.0,0,0,4,10,1497,1907,1947,0,98003,47.317872,-122.367716,1748,4433
188,20141104T000000,699956,1,1.52,3005,9346,1.0,0,0,3,8,2486,519,1903,0,98005,47.456925,-122.385885,1667,7711
189,20141105T000000,378949,3,2.62,1417,4494,1.0,0,0,3,9,3309,0,1936,0,98003,47.704119,-122.259488,3990,8384
190,20141106T000000,242808,3,4.43,2374,1904,2.0,0,0,3,8,1068,1306,1907,0,98003,47.391669,-122.193331,2397,1877
191,20141107T000000,532983,3,2.69,2178,2269,2.5,0,0,3,9,2857,0,1900,0,98008,47.620706,-121.538421,4036,2091
192,20141108T000000,1287613,4,4.02,1115,1404,2.5,0,0,4,10,1895,0,1991,0,98007,47.699462,-121.921527,2679,4059
193,20141109T000000,857213,3,3.06,2249,10035,1.5,0,0,3,9,2179,70,1969,0,98006,47.317011,-121.512404,2470,8007
194,20141110T000000,340696,3,2.31,4325,10974,2.0,0,0,3,8,1329,2996,1946,0,98006,47.374925,-122.127533,3220,6262
195,20141111T000000,948217,3,2.0,4688,10756,2.5,0,0,3,8,2119,2569,1999,0,98005,47.349589,-122.042373,2881,8513
196,20141112T000000,1024315,3,1.71,2977,2184,1.5,0,0,3,9,3539,0,1974,0,98001,47.682999,-122.175421,2443,14865
197,20141113T000000,451483,3,3.67,4005,9938,1.0,0,0,4,9,1579,2426,1904,0,98002,47.131043,-122.317112,3646,2674
198,20141114T000000,885527,2,2.35,3975,2725,2.5,0,0,3,8,1290,2685,1949,0,98001,47.315895,-122.356835,3983,10800
199,20141115T000000,726696,4,2.79,1635,12380,2.0,0,0,3,9,3844,0,1923,0,98001,47.575586,-121.554921,4196,3826
200,20141116T000000,328628,4,2.72,4500,9462,1.5,0,0,5,6,3011,1489,1946,2002,98006,47.49581,-121.513189,3325,10409
201,20141117T000000,926809,4,3.02,874,14057,1.0,0,0,3,11,3225,0,1917,0,98002,47.405403,-122.455091,2327,4052
202,20141118T000000,1007594,3,4.03,706,6811,1.0,0,0,3,10,3526,0,1983,0,98006,47.477964,-122.349654,722,14978
203,20141119T000000,1432151,3,4.43,1819,6606,2.0,0,0,3,8,3217,0,1927,0,98008,47.238309,-122.076476,2246,1313
204,20141120T000000,1388827,4,2.43,1641,4956,2.0,0,0,3,8,3820,0,1976,0,98008,47.401502,-122.313667,1029,9921
205,20141121T000000,252574,3,3.9,3190,1171,1.0,0,0,3,6,3245,0,1904,1996,98006,47.451192,-122.13612,633,13231
206,20141122T000000,359268,3,3.68,3755,9465,1.0,0,0,3,6,1493,2262,1929,0,98007,47.730832,-122.370904,4303,1383
207,20141123T000000,811133,2,3.01,589,3306,2.0,0,0,3,7,577,12,1900,0,98006,47.282585,-122.043488,4986,6884
